n_atoms,method,time,memory
19,autograd,930.7975463867188,795.959808
19,prediction,38.858943939208984,415.780864
19,autograd,946.6416015625,800.141312
19,prediction,38.87241744995117,415.397888
19,autograd,944.2775268554688,800.749056
19,prediction,38.05702209472656,415.397888
19,autograd,943.3998413085938,800.749056
19,prediction,38.28940963745117,414.898688
19,autograd,931.3423461914062,795.959808
19,prediction,38.28031921386719,414.898688
19,autograd,930.824462890625,795.959808
19,prediction,38.5022087097168,414.898688
19,autograd,931.3382568359375,795.959808
19,prediction,37.95759963989258,409.870848
19,autograd,900.115234375,770.464256
20,prediction,37.23161697387695,399.560704
20,autograd,864.5477294921875,736.0
20,prediction,37.19065475463867,398.940672
20,autograd,857.025390625,729.403904
20,prediction,37.094398498535156,398.940672
20,autograd,856.6465454101562,729.403904
20,prediction,38.885215759277344,412.331008
20,autograd,981.0166015625,789.02272
20,prediction,38.55388641357422,410.878976
20,autograd,962.5753784179688,786.04288
20,prediction,38.6828498840332,412.331008
20,autograd,974.0869140625,789.02272
20,prediction,38.99795150756836,415.8208
20,autograd,998.1694946289062,804.026368
20,prediction,39.59379196166992,416.847872
20,autograd,1009.4448852539062,808.918528
20,prediction,41.47785568237305,417.314304
20,autograd,1015.7199096679688,811.08224
20,prediction,39.61212921142578,422.498816
20,autograd,1065.2086181640625,834.17088
21,prediction,40.41513442993164,421.339136
21,autograd,1104.3521728515625,831.117824
21,prediction,39.19859313964844,421.339136
21,autograd,1103.96826171875,831.117824
21,prediction,39.60761642456055,422.539776
21,autograd,1121.3536376953125,838.212608
21,prediction,40.90275192260742,429.477888
21,autograd,1178.7745361328125,865.41824
21,prediction,41.71775817871094,430.338048
21,autograd,1191.2884521484375,868.923392
21,prediction,41.9285774230957,430.338048
21,autograd,1186.1729736328125,868.923392
21,prediction,41.0931510925293,424.334848
21,autograd,1134.1517333984375,844.263424
21,prediction,39.459903717041016,424.334848
21,autograd,1134.05224609375,844.263424
21,prediction,39.12192153930664,424.334848
21,autograd,1132.9718017578125,844.263424
21,prediction,41.134239196777344,430.765056
21,autograd,1189.697509765625,872.213504
22,prediction,40.76348876953125,440.04608
22,autograd,1313.511474609375,913.940992
22,prediction,40.73369598388672,441.212928
22,autograd,1313.660888671875,918.0288
22,prediction,40.51865768432617,441.565696
22,autograd,1312.7313232421875,917.598208
22,prediction,39.453697204589844,423.781376
22,autograd,1182.708740234375,845.34016
22,prediction,39.65849685668945,423.876096
22,autograd,1187.1260986328125,847.990784
22,prediction,39.70662307739258,424.873984
22,autograd,1209.5948486328125,851.322368
22,prediction,42.150718688964844,447.803904
22,autograd,1360.151611328125,950.77888
22,prediction,41.36652755737305,448.745472
22,autograd,1355.9827880859375,946.479616
22,prediction,42.15407943725586,448.964608
22,autograd,1363.4969482421875,951.302656
22,prediction,43.61830520629883,442.4832
22,autograd,1336.848388671875,929.335296
23,prediction,40.88800048828125,430.419456
23,autograd,1307.8507080078125,878.505984
23,prediction,41.72079849243164,429.984256
23,autograd,1308.2408447265625,876.68736
23,prediction,40.86067199707031,429.132288
23,autograd,1295.640625,873.43104
23,prediction,42.35673522949219,449.752064
23,autograd,1488.4718017578125,964.98688
23,prediction,42.1610221862793,455.79264
23,autograd,1500.1756591796875,978.362368
23,prediction,42.22652816772461,451.734016
23,autograd,1501.7830810546875,969.240576
23,prediction,42.94483184814453,449.004544
23,autograd,1487.8822021484375,962.21184
23,prediction,41.861183166503906,448.938496
23,autograd,1481.051025390625,962.191872
23,prediction,42.01891326904297,449.828352
23,autograd,1488.3389892578125,964.89472
23,prediction,40.907745361328125,442.576896
23,autograd,1406.5643310546875,931.203584
24,prediction,43.28886413574219,460.455936
24,autograd,1661.4818115234375,1017.473024
24,prediction,42.797054290771484,460.337664
24,autograd,1649.3699951171875,1011.520512
24,prediction,42.853214263916016,460.071936
24,autograd,1649.5718994140625,1011.520512
24,prediction,43.969825744628906,459.565568
24,autograd,1649.3629150390625,1010.780672
24,prediction,43.029502868652344,460.836864
24,autograd,1662.91357421875,1013.57568
24,prediction,43.25273513793945,461.37344
24,autograd,1667.6669921875,1016.80128
24,prediction,41.871456146240234,449.23392
24,autograd,1538.3416748046875,960.037376
24,prediction,42.76838302612305,449.750016
24,autograd,1545.47509765625,962.614272
24,prediction,42.11532974243164,454.3616
24,autograd,1575.772216796875,986.332672
24,prediction,44.2501106262207,448.339968
24,autograd,1497.629638671875,957.471232
25,prediction,44.33407974243164,470.108672
25,autograd,1828.4461669921875,1061.597184
25,prediction,44.22041702270508,470.201856
25,autograd,1830.1685791015625,1059.054592
25,prediction,44.337982177734375,473.434624
25,autograd,1832.6036376953125,1065.0368
25,prediction,45.390846252441406,473.14688
25,autograd,1852.419921875,1069.157888
25,prediction,43.82704162597656,473.293824
25,autograd,1855.721435546875,1072.380928
25,prediction,43.733856201171875,469.113344
25,autograd,1819.448974609375,1052.423168
25,prediction,45.15532684326172,464.523264
25,autograd,1770.6280517578125,1033.716224
25,prediction,43.185150146484375,466.686464
25,autograd,1780.822021484375,1041.313792
25,prediction,43.36608123779297,460.29568
25,autograd,1733.3883056640625,1018.734592
25,prediction,45.474815368652344,477.041664
25,autograd,1893.333984375,1084.88192
26,prediction,45.12758255004883,474.948608
26,autograd,1964.55419921875,1084.875776
26,prediction,46.00115203857422,472.907264
26,autograd,1935.1009521484375,1072.2176
26,prediction,43.81718444824219,472.411648
26,autograd,1931.8701171875,1075.916288
26,prediction,44.415199279785156,478.570496
26,autograd,1978.1806640625,1099.358208
26,prediction,44.90752029418945,479.794176
26,autograd,1984.6552734375,1095.931392
26,prediction,44.50515365600586,480.01024
26,autograd,1988.1103515625,1098.490368
26,prediction,42.946529388427734,459.916288
26,autograd,1782.1307373046875,1017.51552
26,prediction,42.49497604370117,459.732992
26,autograd,1783.0911865234375,1018.92608
26,prediction,42.691646575927734,459.54304
26,autograd,1784.659912109375,1016.69376
26,prediction,44.43017578125,472.81408
26,autograd,1939.9608154296875,1072.2176
27,prediction,46.61759948730469,486.99136
27,autograd,2185.6826171875,1142.397952
27,prediction,45.685760498046875,487.242752
27,autograd,2183.947021484375,1141.507072
27,prediction,45.949920654296875,488.446976
27,autograd,2193.52978515625,1145.487872
27,prediction,44.55635070800781,475.394048
27,autograd,2046.099365234375,1089.755648
27,prediction,45.7677116394043,478.756864
27,autograd,2071.341064453125,1103.271936
27,prediction,45.07952117919922,479.81312
27,autograd,2079.254638671875,1105.921024
27,prediction,43.16672134399414,449.498624
27,autograd,1752.501220703125,976.199168
27,prediction,41.982078552246094,449.534976
27,autograd,1751.61962890625,976.064512
27,prediction,42.02803039550781,451.051008
27,autograd,1756.19482421875,978.138112
27,prediction,45.51270294189453,469.443584
27,autograd,1966.0255126953125,1059.503616
28,prediction,48.65225601196289,505.998848
28,autograd,2478.041015625,1221.980672
28,prediction,47.75241470336914,504.631296
28,autograd,2463.54296875,1222.163968
28,prediction,47.19232177734375,502.345728
28,autograd,2429.978515625,1209.677312
