model,loss_function,reaction_identifier,gsm_converged,rfo_converged,transition_state_success,rfo_converged_and_transition_state_success
HIP,MSE,rxn2289,True,True,True,True
HIP,MSE,rxn2306,True,True,True,True
HIP,MSE,rxn2317,True,True,True,True
HIP,MSE,rxn2318,True,True,True,True
HIP,MSE,rxn2337,True,True,True,True
HIP,MSE,rxn2349,True,True,True,True
HIP,MSE,rxn2356,True,True,True,True
HIP,MSE,rxn2357,True,True,True,True
HIP,MSE,rxn2380,True,False,False,False
HIP,MSE,rxn2382,True,True,True,True
HIP,MSE,rxn2395,True,True,True,True
HIP,MSE,rxn2407,True,False,True,False
HIP,MSE,rxn2410,True,True,True,True
HIP,MSE,rxn2411,True,True,True,True
HIP,MSE,rxn2417,True,True,True,True
HIP,MSE,rxn2421,True,True,True,True
HIP,MSE,rxn2422,True,True,True,True
HIP,MSE,rxn2440,True,True,True,True
HIP,MSE,rxn2445,True,True,True,True
HIP,MSE,rxn2446,True,True,True,True
HIP,MSE,rxn2461,True,True,False,False
HIP,MSE,rxn2478,True,True,True,True
HIP,MSE,rxn2490,False,False,False,False
HIP,MSE,rxn2500,True,True,True,True
HIP,MSE,rxn2501,True,True,True,True
HIP,MSE,rxn2510,True,True,True,True
HIP,MSE,rxn2564,True,True,True,True
HIP,MSE,rxn2567,True,True,False,False
HIP,MSE,rxn2574,True,True,True,True
HIP,MSE,rxn2587,False,False,False,False
HIP,MSE,rxn2591,True,True,True,True
HIP,MSE,rxn2608,True,True,True,True
HIP,MSE,rxn2646,True,True,True,True
HIP,MSE,rxn2651,True,True,True,True
HIP,MSE,rxn2656,True,True,True,True
HIP,MSE,rxn2669,True,True,True,True
HIP,MSE,rxn2672,True,True,True,True
HIP,MSE,rxn2673,True,True,True,True
HIP,MSE,rxn2675,True,False,False,False
HIP,MSE,rxn2681,True,False,False,False
HIP,MSE,rxn2687,True,True,True,True
HIP,MSE,rxn2692,True,True,True,True
HIP,MSE,rxn2706,True,True,True,True
HIP,MSE,rxn2722,True,True,True,True
HIP,MSE,rxn2730,True,True,True,True
HIP,MSE,rxn2738,True,True,True,True
HIP,MSE,rxn2748,False,False,False,False
HIP,MSE,rxn2756,True,True,True,True
HIP,MSE,rxn2757,True,True,True,True
HIP,MSE,rxn2779,True,True,True,True
HIP,MSE,rxn2788,True,True,True,True
HIP,MSE,rxn2817,False,False,False,False
HIP,MSE,rxn2823,True,True,True,True
HIP,MSE,rxn2834,True,True,True,True
HIP,MSE,rxn2839,False,False,False,False
HIP,MSE,rxn2847,False,False,False,False
HIP,MSE,rxn2858,True,True,True,True
HIP,MSE,rxn2877,True,True,True,True
HIP,MSE,rxn2880,False,False,False,False
HIP,MSE,rxn2881,True,True,True,True
HIP,MSE,rxn2885,True,False,False,False
HIP,MSE,rxn2897,True,True,True,True
HIP,MSE,rxn2902,True,True,True,True
HIP,MSE,rxn2909,True,True,True,True
HIP,MSE,rxn2912,False,False,False,False
HIP,MSE,rxn2917,True,True,True,True
HIP,MSE,rxn2920,True,True,True,True
HIP,MSE,rxn2931,False,False,False,False
HIP,MSE,rxn2932,True,True,True,True
HIP,MSE,rxn2943,False,False,False,False
HIP,MSE,rxn2950,True,True,True,True
HIP,MSE,rxn2957,True,True,True,True
HIP,MSE,rxn2961,True,True,True,True
HIP,MSE,rxn2972,True,True,True,True
HIP,MSE,rxn2973,True,True,True,True
HIP,MSE,rxn2978,True,True,True,True
HIP,MSE,rxn2983,True,True,True,True
HIP,MSE,rxn2986,False,False,False,False
HIP,MSE,rxn3010,True,False,False,False
HIP,MSE,rxn3015,True,True,True,True
HIP,MSE,rxn3053,True,False,True,False
HIP,MSE,rxn3068,True,True,True,True
HIP,MSE,rxn3075,True,True,True,True
HIP,MSE,rxn3086,True,True,True,True
HIP,MSE,rxn3092,True,True,True,True
HIP,MSE,rxn3100,True,True,True,True
HIP,MSE,rxn3108,True,True,True,True
HIP,MSE,rxn3111,True,True,True,True
HIP,MSE,rxn3122,True,True,True,True
HIP,MSE,rxn3127,False,False,False,False
HIP,MSE,rxn3133,True,True,True,True
HIP,MSE,rxn3144,True,True,True,True
HIP,MSE,rxn3154,True,True,True,True
HIP,MSE,rxn3162,True,True,True,True
HIP,MSE,rxn3168,True,True,True,True
HIP,MSE,rxn3173,True,True,True,True
HIP,MSE,rxn3174,True,True,True,True
HIP,MSE,rxn3177,False,False,False,False
HIP,MSE,rxn3192,True,False,False,False
HIP,MSE,rxn3194,True,False,True,False
HIP,MSE,rxn3196,True,True,True,True
HIP,MSE,rxn3202,True,False,True,False
HIP,MSE,rxn3206,True,False,False,False
HIP,MSE,rxn3214,True,True,True,True
HIP,MSE,rxn3217,True,True,True,True
HIP,MSE,rxn3221,True,True,True,True
HIP,MSE,rxn3231,False,False,False,False
HIP,MSE,rxn3233,True,True,True,True
HIP,MSE,rxn3235,True,True,True,True
HIP,MSE,rxn3244,True,False,True,False
HIP,MSE,rxn3246,True,True,True,True
HIP,MSE,rxn3256,True,True,True,True
HIP,MSE,rxn3264,True,True,True,True
HIP,MSE,rxn3266,False,False,False,False
HIP,MSE,rxn3277,True,True,True,True
HIP,MSE,rxn3295,True,True,True,True
HIP,MSE,rxn3305,False,False,False,False
HIP,MSE,rxn3309,True,True,True,True
HIP,MSE,rxn3323,True,False,False,False
HIP,MSE,rxn3329,True,True,True,True
HIP,MSE,rxn3335,False,False,False,False
HIP,MSE,rxn3338,False,False,False,False
HIP,MSE,rxn3339,True,False,False,False
HIP,MSE,rxn3343,True,True,True,True
HIP,MSE,rxn3345,True,True,True,True
HIP,MSE,rxn3387,False,False,False,False
HIP,MSE,rxn3398,True,False,False,False
HIP,MSE,rxn3422,False,False,False,False
HIP,MSE,rxn3429,True,True,True,True
HIP,MSE,rxn3464,True,True,True,True
HIP,MSE,rxn3466,True,True,True,True
HIP,MSE,rxn3485,True,False,True,False
HIP,MSE,rxn3514,False,False,False,False
HIP,MSE,rxn3528,True,True,True,True
HIP,MSE,rxn3536,True,False,False,False
HIP,MSE,rxn3558,False,False,False,False
HIP,MSE,rxn3575,True,False,False,False
HIP,MSE,rxn3576,False,False,False,False
HIP,MSE,rxn3596,True,True,True,True
HIP,MSE,rxn3600,True,True,True,True
HIP,MSE,rxn3607,True,True,True,True
HIP,MSE,rxn3618,True,True,True,True
HIP,MSE,rxn3631,True,True,True,True
HIP,MSE,rxn3639,True,True,True,True
HIP,MSE,rxn3642,False,False,False,False
HIP,MSE,rxn3645,True,True,True,True
HIP,MSE,rxn3654,True,True,True,True
HIP,MSE,rxn3655,True,True,True,True
HIP,MSE,rxn3657,True,True,True,True
HIP,MSE,rxn3674,True,True,True,True
HIP,MSE,rxn3675,True,True,True,True
HIP,MSE,rxn3688,True,True,True,True
HIP,MSE,rxn3692,True,True,True,True
HIP,MSE,rxn3702,True,True,True,True
HIP,MSE,rxn3705,True,False,False,False
HIP,MSE,rxn3710,True,False,True,False
HIP,MSE,rxn3726,True,False,False,False
HIP,MSE,rxn3729,True,True,True,True
HIP,MSE,rxn3742,False,False,False,False
HIP,MSE,rxn3748,True,True,True,True
HIP,MSE,rxn3764,True,True,True,True
HIP,MSE,rxn3773,False,False,False,False
HIP,MSE,rxn3774,True,True,True,True
HIP,MSE,rxn3790,True,False,False,False
HIP,MSE,rxn3801,True,True,True,True
HIP,MSE,rxn3802,False,False,False,False
HIP,MSE,rxn3811,True,False,False,False
HIP,MSE,rxn3813,True,False,False,False
HIP,MSE,rxn3818,True,True,True,True
HIP,MSE,rxn3832,True,False,True,False
HIP,MSE,rxn3835,True,True,True,True
HIP,MSE,rxn3837,True,True,True,True
HIP,MSE,rxn3843,True,True,True,True
HIP,MSE,rxn3845,True,True,True,True
HIP,MSE,rxn3847,True,True,True,True
HIP,MSE,rxn3854,True,True,True,True
HIP,MSE,rxn3881,True,False,False,False
HIP,MSE,rxn3898,False,False,False,False
HIP,MSE,rxn3908,True,True,True,True
HIP,MSE,rxn3914,True,True,True,True
HIP,MSE,rxn3920,True,False,False,False
HIP,MSE,rxn3922,True,True,True,True
HIP,MSE,rxn3934,True,True,True,True
HIP,MSE,rxn3943,True,False,False,False
HIP,MSE,rxn3952,True,True,False,False
HIP,MSE,rxn3984,True,True,True,True
HIP,MSE,rxn3994,True,True,True,True
HIP,MSE,rxn4011,True,True,True,True
HIP,MSE,rxn4022,False,False,False,False
HIP,MSE,rxn4023,True,True,True,True
