method,batch_size,replicate_index,time_milliseconds,time_per_sample_milliseconds,peak_memory_gigabytes
HIP,1,4,35.95878219604492,35.95878219604492,3.79623936e-07
HIP,1,5,35.28294372558594,35.28294372558594,3.66373376e-07
HIP,1,6,35.44073486328125,35.44073486328125,3.73454848e-07
HIP,1,7,35.493953704833984,35.493953704833984,3.7897984e-07
HIP,1,8,36.22604751586914,36.22604751586914,3.93394176e-07
HIP,1,9,34.32831954956055,34.32831954956055,3.67289344e-07
HIP,2,0,41.41430282592773,20.707151412963864,4.3259596800000003e-07
HIP,2,1,39.59910583496094,19.79955291748047,4.22346752e-07
HIP,2,2,41.65836715698242,20.82918357849121,4.4584601600000004e-07
HIP,2,3,40.76204681396485,20.381023406982425,4.31950848e-07
HIP,2,4,41.09823989868164,20.54911994934082,4.31345152e-07
HIP,2,5,35.78675079345703,17.893375396728516,3.80265984e-07
HIP,2,6,40.800254821777344,20.400127410888672,4.2989823999999997e-07
HIP,2,7,43.56710433959961,21.783552169799805,4.5054566399999996e-07
HIP,2,8,45.40284729003906,22.70142364501953,4.75408384e-07
HIP,2,9,41.30425643920898,20.65212821960449,4.2958745599999995e-07
HIP,3,0,39.43328094482422,13.144426981608072,4.1415936e-07
HIP,3,1,44.16694259643555,14.72231419881185,4.58153472e-07
HIP,3,2,42.70284652709961,14.23428217569987,4.5260134399999997e-07
HIP,3,3,42.48780822753906,14.162602742513021,4.5260134399999997e-07
HIP,3,4,44.76723098754883,14.922410329182943,4.7598233599999996e-07
HIP,3,5,47.59142303466797,15.863807678222656,4.78103552e-07
HIP,3,6,46.55001449584961,15.516671498616537,4.90144256e-07
HIP,3,7,50.25859069824219,16.75286356608073,5.2004608e-07
HIP,3,8,47.008766174316406,15.669588724772135,4.88517632e-07
HIP,3,9,42.040287017822266,14.013429005940756,4.3767244799999996e-07
HIP,4,0,48.37091064453125,12.092727661132812,5.07831808e-07
HIP,4,1,49.889278411865234,12.472319602966309,5.138703359999999e-07
HIP,4,2,54.9222412109375,13.730560302734375,5.57409792e-07
