model,dataset_index,sample_index,number_of_atoms,force_mae_eV_per_angstrom,hessian_mae_eV_per_angstrom2
EquiformerV2 AD with Hessian training,46667,122,11,0.1351422369480133,0.3089298605918884
EquiformerV2 AD with Hessian training,10469,123,13,0.0049320496618747,0.0246897600591182
EquiformerV2 AD with Hessian training,23184,124,13,0.0067287334240973,0.0323669873178005
EquiformerV2 AD with Hessian training,2251,125,10,0.0046458360739052,0.0378146693110466
EquiformerV2 AD with Hessian training,2493,126,10,0.0119998203590512,0.2046863883733749
EquiformerV2 AD with Hessian training,31105,127,16,0.0016944146482273,0.0116636883467435
EquiformerV2 AD with Hessian training,20311,128,13,0.0045004542917013,0.026642370969057
EquiformerV2 AD with Hessian training,35660,129,18,0.0036074090749025,0.0149479145184159
EquiformerV2 AD with Hessian training,46637,130,11,0.0415701568126678,0.2765891253948211
EquiformerV2 AD with Hessian training,41937,131,13,0.0058852043002843,0.1085691750049591
EquiformerV2 AD with Hessian training,17348,132,13,0.0449156463146209,0.1818748265504837
EquiformerV2 AD with Hessian training,44741,133,10,0.0398121438920497,0.3533506393432617
EquiformerV2 AD with Hessian training,20410,134,12,0.0033293375745415,0.024819154292345
EquiformerV2 AD with Hessian training,42370,135,16,0.0033217277377843,0.0119741326197981
EquiformerV2 AD with Hessian training,22400,136,17,0.0030564456246793,0.0160011462867259
EquiformerV2 AD with Hessian training,21917,137,16,0.0141875883564352,0.0412876345217227
EquiformerV2 AD with Hessian training,31296,138,18,0.0045476034283638,0.0208190288394689
EquiformerV2 AD with Hessian training,11515,139,17,0.0151030542328953,0.0467462390661239
EquiformerV2 AD with Hessian training,14723,140,10,0.0148802706971764,0.2467059046030044
EquiformerV2 AD with Hessian training,38694,141,13,0.0039884401485323,0.0220122691243886
EquiformerV2 AD with Hessian training,10731,142,21,0.0028156940825283,0.0095800710842013
EquiformerV2 AD with Hessian training,44701,143,14,0.0485978126525878,0.1147329062223434
EquiformerV2 AD with Hessian training,40579,144,12,0.0042176563292741,0.045833371579647
EquiformerV2 AD with Hessian training,39319,145,13,0.0102205593138933,0.0684661865234375
EquiformerV2 AD with Hessian training,10382,146,14,0.0081587554886937,0.045984897762537
EquiformerV2 AD with Hessian training,30800,147,12,0.0038140916731208,0.1059144809842109
EquiformerV2 AD with Hessian training,50052,148,15,0.0070300777442753,0.0343184731900692
EquiformerV2 AD with Hessian training,5686,149,13,0.0085962675511837,0.0461175590753555
EquiformerV2 AD with Hessian training,48550,150,16,0.0144379921257495,0.0372738726437091
EquiformerV2 AD with Hessian training,33962,151,10,0.0989449247717857,0.1902093142271042
EquiformerV2 AD with Hessian training,10924,152,19,0.0025123464874923,0.0108601320534944
EquiformerV2 AD with Hessian training,1129,153,13,0.0171499345451593,0.0684900656342506
EquiformerV2 AD with Hessian training,41116,154,19,0.0037946996744722,0.0113719496876001
EquiformerV2 AD with Hessian training,4589,155,16,0.0036337366327643,0.0427997000515461
EquiformerV2 AD with Hessian training,1410,156,13,0.0094988215714693,0.0454572141170501
EquiformerV2 AD with Hessian training,3607,157,17,0.0066403239034116,0.0296688880771398
EquiformerV2 AD with Hessian training,18810,158,11,0.0055326940491795,0.1681380569934845
EquiformerV2 AD with Hessian training,12622,159,12,0.0154250496998429,0.0854334086179733
EquiformerV2 AD with Hessian training,24050,160,19,0.0046602902002632,0.0161301605403423
EquiformerV2 AD with Hessian training,39502,161,11,0.016251016408205,0.122142344713211
