model,dataset_index,sample_index,number_of_atoms,force_mae_eV_per_angstrom,hessian_mae_eV_per_angstrom2
Energy-force-only EquiformerV2 AD,24085,4273,12,0.022395746782422,3.648070573806762
Energy-force-only EquiformerV2 AD,5840,4274,14,0.0204061325639486,2.2543561458587646
Energy-force-only EquiformerV2 AD,7105,4275,15,0.007003647275269,1.885713577270508
Energy-force-only EquiformerV2 AD,4584,4276,13,0.0683759078383445,3.808077812194824
Energy-force-only EquiformerV2 AD,26227,4277,13,0.010182000696659,2.720866203308105
Energy-force-only EquiformerV2 AD,8076,4278,10,0.0105046313256025,3.0886125564575195
Energy-force-only EquiformerV2 AD,5120,4279,12,0.0194823518395423,2.3181135654449463
Energy-force-only EquiformerV2 AD,38203,4280,10,0.0849855840206146,5.652252197265625
Energy-force-only EquiformerV2 AD,24313,4281,12,0.0194472279399633,2.250761747360229
Energy-force-only EquiformerV2 AD,43541,4282,8,0.0110862981528043,4.366457462310791
Energy-force-only EquiformerV2 AD,44601,4283,15,0.0046265432611107,2.241814613342285
Energy-force-only EquiformerV2 AD,1500,4284,13,0.0096974801272153,2.6926028728485107
Energy-force-only EquiformerV2 AD,43341,4285,17,0.0469450950622558,1.3840125799179075
Energy-force-only EquiformerV2 AD,38837,4286,12,0.0368176512420177,2.0654091835021973
Energy-force-only EquiformerV2 AD,43041,4287,16,0.0097941607236862,1.8381619453430176
Energy-force-only EquiformerV2 AD,5334,4288,12,0.1071471348404884,1.7481225728988647
Energy-force-only EquiformerV2 AD,39459,4289,13,0.0407983586192131,1.77748703956604
Energy-force-only EquiformerV2 AD,21580,4290,15,0.0346626490354537,1.044234275817871
Energy-force-only EquiformerV2 AD,37220,4291,14,0.0128804165869951,1.790022611618042
Energy-force-only EquiformerV2 AD,31951,4292,15,0.0060341083444654,1.5955102443695068
Energy-force-only EquiformerV2 AD,23357,4293,14,0.0174704026430845,1.764981985092163
Energy-force-only EquiformerV2 AD,27554,4294,15,0.0338192395865917,2.6475577354431152
Energy-force-only EquiformerV2 AD,36609,4295,11,0.012667435221374,3.523190498352051
Energy-force-only EquiformerV2 AD,41769,4296,9,0.0495961084961891,4.36252498626709
Energy-force-only EquiformerV2 AD,50803,4297,12,0.0042233830317854,3.0693392753601074
Energy-force-only EquiformerV2 AD,29674,4298,12,0.0105029018595814,3.198405742645264
Energy-force-only EquiformerV2 AD,8276,4299,14,0.0085862781852483,1.938020944595337
Energy-force-only EquiformerV2 AD,12903,4300,16,0.0052884309552609,1.636013150215149
Energy-force-only EquiformerV2 AD,46192,4301,14,0.0097848679870367,1.8769038915634155
Energy-force-only EquiformerV2 AD,1057,4302,12,0.0231760516762733,2.182692527770996
Energy-force-only EquiformerV2 AD,29882,4303,13,0.0111610293388366,2.0813803672790527
Energy-force-only EquiformerV2 AD,30932,4304,14,0.0138377211987972,1.9451981782913208
Energy-force-only EquiformerV2 AD,15695,4305,7,0.0137860095128417,6.269423007965088
Energy-force-only EquiformerV2 AD,8535,4306,14,0.0211311485618352,2.2374086380004883
Energy-force-only EquiformerV2 AD,47127,4307,14,0.0129990866407752,2.29107928276062
Energy-force-only EquiformerV2 AD,12625,4308,12,0.0272437743842601,3.666043996810913
Energy-force-only EquiformerV2 AD,30076,4309,15,0.0089602991938591,2.403092622756958
Energy-force-only EquiformerV2 AD,39560,4310,14,0.0221349094063043,2.267723798751831
Energy-force-only EquiformerV2 AD,36897,4311,19,0.0052193608134984,1.3452693223953247
Energy-force-only EquiformerV2 AD,14027,4312,11,0.0729212835431099,1.5278801918029783
Energy-force-only EquiformerV2 AD,39277,4313,12,0.0151902372017502,3.0521481037139893
Energy-force-only EquiformerV2 AD,43802,4314,15,0.0087168952450156,1.824339509010315
Energy-force-only EquiformerV2 AD,3318,4315,12,0.0112702958285808,2.746933460235596
Energy-force-only EquiformerV2 AD,3085,4316,14,0.0104873767122626,2.433907985687256
Energy-force-only EquiformerV2 AD,3565,4317,14,0.0263996291905641,1.8909118175506592
Energy-force-only EquiformerV2 AD,32675,4318,12,0.0370448157191276,2.968050241470337
Energy-force-only EquiformerV2 AD,5224,4319,16,0.0461836904287338,1.572003960609436
Energy-force-only EquiformerV2 AD,11224,4320,10,0.0180615112185478,3.39041519165039
Energy-force-only EquiformerV2 AD,28792,4321,10,0.0258092693984508,2.1821765899658203
Energy-force-only EquiformerV2 AD,45081,4322,15,0.0288169384002685,2.006035566329956
Energy-force-only EquiformerV2 AD,29405,4323,13,0.0233112294226884,2.300522327423096
Energy-force-only EquiformerV2 AD,8033,4324,12,0.0376908667385578,2.258335590362549
Energy-force-only EquiformerV2 AD,42844,4325,15,0.0048957709223032,1.767112374305725
Energy-force-only EquiformerV2 AD,10606,4326,12,0.0242300480604171,2.184468984603882
Energy-force-only EquiformerV2 AD,49854,4327,13,0.013727068901062,1.2214012145996094
Energy-force-only EquiformerV2 AD,23542,4328,14,0.0101284673437476,1.3411173820495603
Energy-force-only EquiformerV2 AD,30960,4329,10,0.0146316112950444,3.261962413787842
Energy-force-only EquiformerV2 AD,84,4330,19,0.0035466947592794,1.4869674444198608
Energy-force-only EquiformerV2 AD,41754,4331,17,0.0281543303281068,1.5973596572875977
