sample_idx,natoms,time,memory,energy_error,energy_error_per_atom,forces_error,hessian_error,asymmetry_error,true_asymmetry_error,eigval_mae,true_neg_num,true_is_minima,true_is_ts,true_is_ts_order2,true_is_higher_order,model_neg_num,model_is_ts,model_is_minima,model_is_ts_order2,model_is_higher_order,neg_num_agree,eigval_mae_eckart,eigval1_mae_eckart,eigval2_mae_eckart,eigvec1_cos_eckart,eigvec2_cos_eckart,freq_mae_400_4000,freq_mae_400_4000_dataset
279,21,1131.4080810546875,1107.52256,8533.021484375,406.3343505859375,0.3881889283657074,0.7601940631866455,0.4126701354980469,1.6604004485998303e-05,9.982069969177246,4,0,0,0,1,8,0,0,0,1,0,"tensor(4.3990, dtype=torch.float64)","tensor(0.1564, dtype=torch.float64)","tensor(1.2190, dtype=torch.float64)","tensor(0.7686, dtype=torch.float64)","tensor(0.3450, dtype=torch.float64)",654.0280917541725,
280,21,1175.45361328125,1290.808832,10927.5927734375,520.361572265625,0.3164484202861786,0.7289814949035645,0.37723851203918457,5.575820523517905e-06,9.915234565734863,2,0,0,1,0,4,0,0,0,1,0,"tensor(4.0419, dtype=torch.float64)","tensor(0.0791, dtype=torch.float64)","tensor(0.0573, dtype=torch.float64)","tensor(0.3424, dtype=torch.float64)","tensor(0.5551, dtype=torch.float64)",230.08518918939635,
281,19,879.671142578125,1211.16416,11347.154296875,597.2186279296875,0.4271775782108307,1.3154948949813843,0.5066366195678711,1.511561822553631e-05,15.898748397827148,3,0,0,0,1,6,0,0,0,1,0,"tensor(4.8472, dtype=torch.float64)","tensor(0.0441, dtype=torch.float64)","tensor(0.0941, dtype=torch.float64)","tensor(0.5993, dtype=torch.float64)","tensor(0.1531, dtype=torch.float64)",1562.9257494292706,
282,16,628.708251953125,1044.09088,12867.7802734375,804.2362670898438,0.5902872681617737,1.3932939767837524,0.6601292490959167,6.911122181918472e-05,12.316726684570312,2,0,0,1,0,4,0,0,0,1,0,"tensor(4.3321, dtype=torch.float64)","tensor(0.6527, dtype=torch.float64)","tensor(0.2588, dtype=torch.float64)","tensor(0.8616, dtype=torch.float64)","tensor(0.1897, dtype=torch.float64)",751.1297052279679,
283,21,1123.8193359375,1134.396928,10009.9150390625,476.6626281738281,0.3095438778400421,0.9093690514564514,0.45784470438957214,1.6343026800313964e-05,10.27145767211914,4,0,0,0,1,6,0,0,0,1,0,"tensor(4.0888, dtype=torch.float64)","tensor(0.4775, dtype=torch.float64)","tensor(0.4005, dtype=torch.float64)","tensor(0.7396, dtype=torch.float64)","tensor(0.2422, dtype=torch.float64)",928.6593795954386,
284,22,1246.0010986328125,1309.72416,10944.181640625,497.46282958984375,0.39061427116394043,1.0695545673370361,0.5215983986854553,1.6632404367555864e-05,15.58802604675293,7,0,0,0,1,11,0,0,0,1,0,"tensor(4.8831, dtype=torch.float64)","tensor(1.1953, dtype=torch.float64)","tensor(0.7208, dtype=torch.float64)","tensor(0.6211, dtype=torch.float64)","tensor(0.2838, dtype=torch.float64)",1129.5648563645498,
285,30,2336.310302734375,1586.421248,11655.814453125,388.52716064453125,0.5805582404136658,0.7624044418334961,0.4055151641368866,1.365562275168486e-05,14.665708541870117,7,0,0,0,1,14,0,0,0,1,0,"tensor(6.3538, dtype=torch.float64)","tensor(0.3608, dtype=torch.float64)","tensor(0.5473, dtype=torch.float64)","tensor(0.0946, dtype=torch.float64)","tensor(0.6965, dtype=torch.float64)",2264.5533527235934,
286,22,1141.04833984375,1485.01504,9465.033203125,430.2287902832031,0.4051266610622406,0.8696944713592529,0.41902807354927063,1.4272096450440586e-05,12.279119491577148,7,0,0,0,1,10,0,0,0,1,0,"tensor(5.3233, dtype=torch.float64)","tensor(0.1356, dtype=torch.float64)","tensor(0.2827, dtype=torch.float64)","tensor(0.6064, dtype=torch.float64)","tensor(0.0058, dtype=torch.float64)",2181.7973165910353,
287,21,1212.968994140625,1298.84416,10009.76953125,476.65570068359375,0.29801681637763977,0.7730598449707031,0.43302807211875916,1.473966312914854e-05,10.000452995300293,4,0,0,0,1,4,0,0,0,1,1,"tensor(4.2650, dtype=torch.float64)","tensor(0.2706, dtype=torch.float64)","tensor(0.0957, dtype=torch.float64)","tensor(0.0138, dtype=torch.float64)","tensor(0.1006, dtype=torch.float64)",202.57704682253384,
288,12,475.4800720214844,1013.562368,8364.4228515625,697.0352783203125,0.5522396564483643,0.9869352579116821,0.7335752844810486,5.6772529205773026e-05,5.822107315063477,2,0,0,1,0,2,0,0,1,0,1,"tensor(2.5806, dtype=torch.float64)","tensor(0.9804, dtype=torch.float64)","tensor(0.0172, dtype=torch.float64)","tensor(0.1570, dtype=torch.float64)","tensor(0.1407, dtype=torch.float64)",101.27185882011165,
289,18,745.6522216796875,900.18816,8948.2587890625,497.12548828125,0.5647925138473511,1.0387333631515503,0.478023499250412,1.1573439223866444e-05,12.639124870300293,4,0,0,0,1,8,0,0,0,1,0,"tensor(5.0551, dtype=torch.float64)","tensor(0.4183, dtype=torch.float64)","tensor(0.3923, dtype=torch.float64)","tensor(0.8284, dtype=torch.float64)","tensor(0.3057, dtype=torch.float64)",1354.0357007558277,
290,28,2085.470947265625,1408.27904,10134.54296875,361.9479675292969,0.38960713148117065,0.6278224587440491,0.38215142488479614,5.185799182072515e-06,10.001537322998047,6,0,0,0,1,11,0,0,0,1,0,"tensor(4.5047, dtype=torch.float64)","tensor(0.6412, dtype=torch.float64)","tensor(0.7808, dtype=torch.float64)","tensor(0.2253, dtype=torch.float64)","tensor(0.1515, dtype=torch.float64)",990.7331559645669,
291,20,1095.5601806640625,1461.339648,10447.51953125,522.3759765625,0.5837330222129822,0.8574235439300537,0.4859933853149414,1.0253799700876698e-05,9.241135597229004,2,0,0,1,0,5,0,0,0,1,0,"tensor(4.0318, dtype=torch.float64)","tensor(0.1149, dtype=torch.float64)","tensor(0.0990, dtype=torch.float64)","tensor(0.5977, dtype=torch.float64)","tensor(0.3004, dtype=torch.float64)",1072.9061044095233,
292,17,716.0840454101562,1136.870912,9299.2001953125,547.0117797851562,0.5846705436706543,1.2135772705078125,0.5652732849121094,1.9285271264379844e-05,11.879739761352539,1,0,1,0,0,4,0,0,0,1,0,"tensor(5.4384, dtype=torch.float64)","tensor(0.0446, dtype=torch.float64)","tensor(0.4038, dtype=torch.float64)","tensor(0.3287, dtype=torch.float64)","tensor(0.1273, dtype=torch.float64)",1553.4831038317443,
293,24,1526.9058837890625,1282.010624,8591.916015625,357.99652099609375,0.35992684960365295,0.7388333082199097,0.3890487253665924,5.457774477690691e-06,11.630139350891113,7,0,0,0,1,10,0,0,0,1,0,"tensor(4.7961, dtype=torch.float64)","tensor(0.6627, dtype=torch.float64)","tensor(0.6276, dtype=torch.float64)","tensor(0.0839, dtype=torch.float64)","tensor(0.0297, dtype=torch.float64)",1735.995159001315,
294,14,565.4169311523438,1142.410752,8223.8720703125,587.41943359375,0.668925940990448,1.3632383346557617,0.7137771844863892,4.578464722726494e-05,11.299200057983398,1,0,1,0,0,2,0,0,1,0,0,"tensor(4.8475, dtype=torch.float64)","tensor(0.0990, dtype=torch.float64)","tensor(0.2238, dtype=torch.float64)","tensor(0.8152, dtype=torch.float64)","tensor(0.4340, dtype=torch.float64)",528.2825925788026,
295,19,826.7262573242188,988.166144,9877.734375,519.8807373046875,0.6265234351158142,1.2322404384613037,0.4802674949169159,1.594608329469338e-05,14.820862770080566,4,0,0,0,1,7,0,0,0,1,0,"tensor(5.6690, dtype=torch.float64)","tensor(0.4489, dtype=torch.float64)","tensor(0.4470, dtype=torch.float64)","tensor(0.4750, dtype=torch.float64)","tensor(0.1552, dtype=torch.float64)",1705.326035053647,
296,12,469.20318603515625,899.516928,8284.50390625,690.3753662109375,0.6958847641944885,1.6655100584030151,1.2373063564300537,2.7225065423408523e-05,10.486801147460938,1,0,1,0,0,3,0,0,0,1,0,"tensor(3.8681, dtype=torch.float64)","tensor(0.3501, dtype=torch.float64)","tensor(0.1698, dtype=torch.float64)","tensor(0.0478, dtype=torch.float64)","tensor(0.2755, dtype=torch.float64)",826.8878389342646,
297,18,807.0244750976562,930.584064,8934.4921875,496.3606872558594,0.36232781410217285,0.9637826085090637,0.5719491243362427,1.865290141722653e-05,8.985725402832031,2,0,0,1,0,3,0,0,0,1,0,"tensor(4.1936, dtype=torch.float64)","tensor(0.1032, dtype=torch.float64)","tensor(0.0585, dtype=torch.float64)","tensor(0.6142, dtype=torch.float64)","tensor(0.3114, dtype=torch.float64)",973.3290017576822,
298,17,719.572998046875,1067.386368,9285.048828125,546.1793212890625,0.6265791058540344,1.312360167503357,0.6126542091369629,5.107739707455039e-05,11.783614158630371,2,0,0,1,0,3,0,0,0,1,0,"tensor(5.2714, dtype=torch.float64)","tensor(1.0636, dtype=torch.float64)","tensor(0.1685, dtype=torch.float64)","tensor(0.0842, dtype=torch.float64)","tensor(0.2249, dtype=torch.float64)",791.0993143769472,
299,16,629.764892578125,1009.189888,8804.494140625,550.2808837890625,0.3644326627254486,0.8797271847724915,0.488105446100235,3.231508162571117e-05,7.992178916931152,2,0,0,1,0,2,0,0,1,0,1,"tensor(3.8150, dtype=torch.float64)","tensor(0.1364, dtype=torch.float64)","tensor(0.1325, dtype=torch.float64)","tensor(0.2590, dtype=torch.float64)","tensor(0.0573, dtype=torch.float64)",293.3873055742832,
300,17,679.05517578125,995.396608,10861.8037109375,638.9296264648438,0.5988934636116028,1.3029786348342896,0.6531956791877747,3.545953950379044e-05,13.242867469787598,3,0,0,0,1,5,0,0,0,1,0,"tensor(5.3583, dtype=torch.float64)","tensor(0.7546, dtype=torch.float64)","tensor(0.2795, dtype=torch.float64)","tensor(0.5101, dtype=torch.float64)","tensor(0.0322, dtype=torch.float64)",1538.2394574637947,
301,26,1763.5184326171875,1315.502592,13699.6015625,526.9077758789062,0.4687175452709198,0.7325204014778137,0.4438881576061249,7.953857675602194e-06,10.120959281921387,5,0,0,0,1,11,0,0,0,1,0,"tensor(4.0475, dtype=torch.float64)","tensor(0.7592, dtype=torch.float64)","tensor(0.4069, dtype=torch.float64)","tensor(0.0264, dtype=torch.float64)","tensor(0.5629, dtype=torch.float64)",1293.3656437079246,
302,20,1065.77001953125,1399.201792,8979.7734375,448.9886779785156,0.6350635290145874,0.8658424019813538,0.46404656767845154,9.819707884162199e-06,11.34573745727539,3,0,0,0,1,6,0,0,0,1,0,"tensor(5.1390, dtype=torch.float64)","tensor(0.7722, dtype=torch.float64)","tensor(0.1040, dtype=torch.float64)","tensor(0.1097, dtype=torch.float64)","tensor(0.0292, dtype=torch.float64)",1216.2177682966862,
303,21,1171.3382568359375,1278.381056,13048.662109375,621.3648681640625,0.6641720533370972,0.8162356615066528,0.4568324089050293,2.859061351045966e-05,8.841569900512695,4,0,0,0,1,5,0,0,0,1,0,"tensor(3.4681, dtype=torch.float64)","tensor(0.2952, dtype=torch.float64)","tensor(0.1535, dtype=torch.float64)","tensor(0.1290, dtype=torch.float64)","tensor(0.0250, dtype=torch.float64)",797.1220193501754,
304,21,1123.80517578125,1284.445184,10923.5546875,520.1692504882812,0.7146008014678955,0.825465202331543,0.41684386134147644,1.751303716446273e-05,10.02619743347168,4,0,0,0,1,7,0,0,0,1,0,"tensor(4.4648, dtype=torch.float64)","tensor(0.8717, dtype=torch.float64)","tensor(0.8173, dtype=torch.float64)","tensor(0.1140, dtype=torch.float64)","tensor(0.2610, dtype=torch.float64)",658.1680587216644,
305,16,631.7885131835938,1110.375424,8252.5439453125,515.7839965820312,0.6243389248847961,1.2119872570037842,0.593669593334198,2.8287218810874037e-05,10.96457576751709,4,0,0,0,1,3,0,0,0,1,0,"tensor(4.9234, dtype=torch.float64)","tensor(2.3031, dtype=torch.float64)","tensor(0.0850, dtype=torch.float64)","tensor(0.9144, dtype=torch.float64)","tensor(0.7617, dtype=torch.float64)",124.32836012937022,
