model,number_of_atoms,eckart_eigenvalue_mae_eV_per_angstrom2,sample_index,outlier_filter_hessian_mae_eV_per_angstrom2,outlier
HIP,15,0.0393393630709286,95,0.0870616286993026,False
HIP,20,0.0235199656543768,96,0.0169126708060503,False
HIP,13,0.127831699830724,97,0.3461261391639709,False
HIP,14,0.0100295535379845,98,0.0317358449101448,False
HIP,20,0.039388526174367,99,0.0374964997172355,False
HIP,16,0.0321947024722186,100,0.0300151277333498,False
HIP,15,0.0284124429526009,101,0.0327639058232307,False
HIP,19,0.0313809140244141,102,0.0324276462197303,False
HIP,21,0.0127366459187628,103,0.0092483507469296,False
HIP,13,0.0078643592179245,104,0.0207476895302534,False
HIP,17,0.0202846117794549,105,0.0339721962809562,False
HIP,15,0.013800635147442,106,0.0119812758639454,False
HIP,30,0.0371299036414184,107,0.0297909453511238,False
HIP,13,0.0471672479478616,108,0.0575621277093887,False
HIP,20,0.0244761414569986,109,0.0291438773274421,False
HIP,20,0.071470108147318,110,0.0564120821654796,False
HIP,15,0.1223674772777324,111,0.3159935474395752,False
HIP,25,0.0213784447301059,112,0.025234404951334,False
HIP,15,0.0200493756994306,113,0.0233076345175504,False
HIP,23,0.071338677425542,114,0.0660925656557083,False
HIP,20,0.0149347734578033,115,0.0164503194391727,False
HIP,19,0.0235983222917745,116,0.023477578535676,False
HIP,18,0.0269554205065518,117,0.0325344428420066,False
HIP,18,0.0320137144629511,118,0.0304554812610149,False
HIP,14,0.015691484073733,119,0.0368335507810115,False
HIP,13,0.0198813869471058,120,0.0403548628091812,False
HIP,10,0.0152357730830234,121,0.0569206029176712,False
HIP,23,0.0361572324598035,122,0.0330247990787029,False
HIP,15,0.0435712442074439,123,0.057674616575241,False
HIP,18,0.0212800430819626,124,0.033989917486906,False
HIP,11,0.04467900680976,125,0.0609307251870632,False
HIP,18,0.0325758625692025,126,0.0437267012894153,False
HIP,17,0.063070760631623,127,0.0928967669606208,False
HIP,17,0.0226161504440555,128,0.0305083617568016,False
HIP,17,0.0212729771806364,129,0.0305600874125957,False
HIP,23,0.0217032375656641,130,0.0173901189118623,False
HIP,19,0.0559391344135584,131,0.0657151788473129,False
HIP,22,0.0663591834655821,132,0.0846084952354431,False
HIP,18,0.0310360084529788,133,0.0275332182645797,False
HIP,15,0.0157074747535818,134,0.0204515997320413,False
HIP,11,0.019400345263224,135,0.040423110127449,False
HIP,18,0.0636042405085735,136,0.0703526511788368,False
HIP,14,0.030806711519389,137,0.0591248832643032,False
HIP,14,0.024070324954998,138,0.0432339683175087,False
HIP,9,0.0584114838062929,139,0.1069534122943878,False
HIP,11,0.0159173250301366,140,0.0505589954555034,False
HIP,16,0.0453522248429492,141,0.0608960576355457,False
HIP,12,0.1239065082182524,142,0.1968867778778076,False
HIP,19,0.0130156415909786,143,0.0152665851637721,False
HIP,24,0.045375462907337,144,0.0520683452486991,False
HIP,20,0.03217100513164,145,0.0448281057178974,False
HIP,13,0.0129727743451689,146,0.0344082042574882,False
HIP,20,0.02086601970712,147,0.0289586167782545,False
HIP,31,0.0137674224532631,148,0.0060832859016954,False
HIP,22,0.013969272010766,149,0.0162724200636148,False
HIP,14,0.021451534355716,150,0.0151856569573283,False
HIP,23,0.0273921909855125,151,0.0272408463060855,False
HIP,17,0.0319886561872347,152,0.0485829934477806,False
HIP,9,0.0614996111258453,153,0.3603803515434265,False
HIP,20,0.0213260463931844,154,0.0214599799364805,False
HIP,18,0.0340363666325015,155,0.0329145677387714,False
HIP,22,0.00948883061711,156,0.0130150215700268,False
HIP,21,0.0178693169314988,157,0.0205712988972663,False
HIP,15,0.0392620803632583,158,0.0322946645319461,False
HIP,18,0.0247078314543304,159,0.0245595145970582,False
HIP,25,0.0570445299631146,160,0.0469317287206649,False
HIP,13,0.0249381471606203,161,0.0309698637574911,False
HIP,18,0.0161962123312758,162,0.0155533785000443,False
HIP,26,0.0204004450677028,163,0.0215673688799142,False
HIP,17,0.0337163335119874,164,0.0816229060292244,False
HIP,17,0.0216998698075021,165,0.0470431335270404,False
HIP,15,0.0242255394443894,166,0.0376910828053951,False
HIP,21,0.0370646005573029,167,0.0327729620039463,False
HIP,16,0.0072316589417349,168,0.0126150147989392,False
HIP,16,0.0196326295102726,169,0.021943874657154,False
HIP,15,0.0283975400067139,170,0.0674481391906738,False
HIP,15,0.0180141501724105,171,0.0251830834895372,False
HIP,13,0.0308959797594685,172,0.0517096221446991,False
HIP,20,0.0420422526245396,173,0.0471123717725276,False
HIP,15,0.0111694067184113,174,0.0175365600734949,False
HIP,17,0.0537144393672877,175,0.0529777631163597,False
HIP,16,0.0171550009819193,176,0.0339957736432552,False
HIP,28,0.0127603425718743,177,0.0164620243012905,False
HIP,22,0.0146244683770256,178,0.012810606509447,False
HIP,19,0.0217356307084836,179,0.0333750769495964,False
HIP,14,0.0488135388408204,180,0.0897068083286285,False
HIP,31,0.0208569842652027,181,0.0154499439522624,False
HIP,20,0.0559060670865068,182,0.0428814254701137,False
HIP,18,0.0240386292060471,183,0.0295264236629009,False
HIP,13,0.0382660433072311,184,0.0605516918003559,False
HIP,14,0.0552301012738541,185,0.0888618975877761,False
HIP,22,0.0445191120002269,186,0.0451591573655605,False
HIP,20,0.0109971183048135,187,0.0102930003777146,False
HIP,24,0.0195695380169884,188,0.0108390534296631,False
HIP,22,0.0147631038637106,189,0.0164045970886945,False
HIP,23,0.0271004742577101,190,0.0349241942167282,False
HIP,16,0.0387852092708578,191,0.0608478263020515,False
HIP,19,0.0116891831247361,192,0.0109031749889254,False
HIP,16,0.0460741039860277,193,0.0830407068133354,False
HIP,20,0.0207677390885304,194,0.0298522878438234,False
HIP,22,0.0217191466281561,195,0.0432764925062656,False
HIP,28,0.0556809587272643,196,0.0499721020460128,False
HIP,23,0.0295058469364769,197,0.032530128955841,False
HIP,24,0.0122211453098441,198,0.0100786704570055,False
HIP,20,0.0332922307681324,199,0.0315572693943977,False
HIP,23,0.0080858962999165,200,0.0086776716634631,False
HIP,21,0.0155665742848142,201,0.017292283475399,False
HIP,19,0.0350834411092354,202,0.042219340801239,False
HIP,18,0.0175853096556918,203,0.0226075649261474,False
HIP,19,0.0234484820637998,204,0.0383895821869373,False
HIP,14,0.1432764094405692,205,0.2643863558769226,False
HIP,16,0.0150984951939466,206,0.0199142228811979,False
HIP,23,0.0138553683877244,207,0.014085691422224,False
HIP,15,0.0428914531798601,208,0.0390956811606884,False
HIP,14,0.043293109268815,209,0.0683977529406547,False
HIP,31,0.0275010693609625,210,0.0130692468956112,False
HIP,17,0.0154449888585815,211,0.0170882027596235,False
HIP,17,0.0385755896899127,212,0.0790184140205383,False
HIP,22,0.0123468920732085,213,0.0181377306580543,False
HIP,23,0.0360093923789173,214,0.0289179068058729,False
HIP,15,0.0139046356796072,215,0.027915570884943,False
HIP,14,0.023928502417988,216,0.0450142920017242,False
HIP,19,0.0207541377651184,217,0.0326506346464157,False
HIP,12,0.0095876733391883,218,0.0145807396620512,False
HIP,22,0.0122805353842273,219,0.0142425931990146,False
HIP,27,0.0433228200076358,220,0.041632704436779,False
HIP,20,0.0115405598937031,221,0.0079481760039925,False
HIP,19,0.0163467276125912,222,0.0261576175689697,False
HIP,16,0.0092947700916936,223,0.0148179354146122,False
HIP,23,0.0112693601931261,224,0.0170858483761549,False
HIP,18,0.0159914909105686,225,0.0277238115668296,False
HIP,19,0.0138249165770179,226,0.0306261088699102,False
HIP,18,0.0202184530018337,227,0.0266913007944822,False
HIP,18,0.0310831382102268,228,0.0602100305259227,False
HIP,11,0.0333005543328437,229,0.0984691008925437,False
HIP,19,0.0248966782463355,230,0.0314912647008895,False
HIP,19,0.0735520253092971,231,0.0881072580814361,False
HIP,22,0.0314729510103281,232,0.0200671348720788,False
HIP,14,0.0175322382015492,233,0.0397278442978858,False
HIP,13,0.0143119596638008,234,0.0348650738596916,False
HIP,14,0.1545443099999274,235,0.5045520663261414,True
HIP,10,0.0196687699308362,236,0.0242225863039493,False
HIP,17,0.0107824179220284,237,0.015037378296256,False
HIP,13,0.0293490953248722,238,0.0295781902968883,False
HIP,19,0.0830365670964822,239,0.1133020222187042,False
HIP,16,0.0390844006593115,240,0.0337226651608943,False
HIP,15,0.0467653282939766,241,0.0537835955619812,False
HIP,21,0.0311103385192898,242,0.03491822630167,False
HIP,20,0.0370459555772557,243,0.033233918249607,False
HIP,21,0.0757515903102532,244,0.0488283112645149,False
HIP,20,0.0176212247792767,245,0.0201435554772615,False
HIP,20,0.0300123047296246,246,0.0387756191194057,False
HIP,11,0.0377228244651236,247,0.0835211500525474,False
HIP,21,0.0136727817910244,248,0.015580317005515,False
HIP,18,0.0279598499057729,249,0.0370430536568164,False
HIP,19,0.0094681287753293,250,0.0097516626119613,False
HIP,12,0.0844300959307968,251,0.2604142427444458,False
HIP,14,0.1317949068820604,252,0.142818197607994,False
HIP,22,0.0111085637698117,253,0.0089412853121757,False
HIP,17,0.0395319343510941,254,0.081913024187088,False
HIP,15,0.0378317412887159,255,0.0690466314554214,False
HIP,11,0.0540313011100453,256,0.1359719187021255,False
HIP,20,0.0256730259961402,257,0.03324456512928,False
HIP,15,0.0150747703814872,258,0.0377150401473045,False
HIP,13,0.040626853722588,259,0.0426885858178138,False
HIP,22,0.0193453428151492,260,0.0211889930069446,False
HIP,23,0.0395140877712958,261,0.0322331264615058,False
HIP,18,0.0080558642940623,262,0.0088576525449752,False
HIP,14,0.0708028351978776,263,0.1267472952604293,False
HIP,21,0.0367274626031818,264,0.0498578436672687,False
HIP,8,0.0221907206616479,265,0.0386518687009811,False
HIP,15,0.0214117344563989,266,0.0443436689674854,False
