Name	Atoms	Format	Source
chno_xyz/n044_pubchem_04_891ca65ca8	44	xyz	pubchem3d:11075468:C15H27NO
chno_xyz/n044_pubchem_05_af4a4aff34	44	xyz	pubchem3d:98877:C15H27NO
chno_xyz/n044_pubchem_06_93aeead65a	44	xyz	pubchem3d:3127904:C15H27NO
chno_xyz/n044_pubchem_07_624652e328	44	xyz	pubchem3d:50908637:C15H27NO
chno_xyz/n044_pubchem_08_4013c7bcf3	44	xyz	pubchem3d:50908654:C15H27NO
chno_xyz/n044_pubchem_09_563c1678ac	44	xyz	pubchem3d:14015854:C15H27NO
chno_xyz/n044_pubchem_10_f494af49b6	44	xyz	pubchem3d:24011649:C15H27NO
chno_xyz/n045_pubchem_01_ea306980ac	45	xyz	pubchem3d:78002:C15H28N2
chno_xyz/n045_pubchem_02_eb47ec5211	45	xyz	pubchem3d:246548:C15H28N2
chno_xyz/n045_pubchem_03_0705ed580e	45	xyz	pubchem3d:11053662:C15H28N2
chno_xyz/n045_pubchem_04_6eaaedd207	45	xyz	pubchem3d:24850675:C15H28N2
chno_xyz/n045_pubchem_05_ed490da07a	45	xyz	pubchem3d:52949606:C15H28N2
chno_xyz/n045_pubchem_06_69820ab4fc	45	xyz	pubchem3d:163047261:C15H28N2
chno_xyz/n045_pubchem_07_d920b602ee	45	xyz	pubchem3d:3385119:C15H28N2
chno_xyz/n045_pubchem_08_c6e5c36f1c	45	xyz	pubchem3d:118764:C15H28N2
chno_xyz/n045_pubchem_09_d76da5a0ce	45	xyz	pubchem3d:743464:C15H28N2
chno_xyz/n045_pubchem_10_39b1360096	45	xyz	pubchem3d:767502:C15H28N2
chno_xyz/n046_pubchem_01_0e9e209090	46	xyz	pubchem3d:5365703:C16H28O2
chno_xyz/n046_pubchem_02_ff8f0e37ae	46	xyz	pubchem3d:6436633:C16H28O2
chno_xyz/n046_pubchem_03_ace899fa3a	46	xyz	pubchem3d:6441057:C16H28O2
chno_xyz/n046_pubchem_04_f3878c6165	46	xyz	pubchem3d:5365992:C16H28O2
